Age,Location,Total
40-49,Valle d'Aosta / Vallée d'Aoste,17884
50-59,Valle d'Aosta / Vallée d'Aoste,20922
60-69,Valle d'Aosta / Vallée d'Aoste,16123
70-79,Valle d'Aosta / Vallée d'Aoste,12953
80-89,Valle d'Aosta / Vallée d'Aoste,7803
90+,Valle d'Aosta / Vallée d'Aoste,1781
0-12,Veneto,525545
12-19,Veneto,374041
20-29,Veneto,481339
30-39,Veneto,524439
40-49,Veneto,717331
50-59,Veneto,806474
60-69,Veneto,610635
70-79,Veneto,494721
80-89,Veneto,298205
90+,Veneto,67121
