40-49;Valle d'Aosta / Vallée d'Aoste;18555
50-59;Valle d'Aosta / Vallée d'Aoste;20757
60-69;Valle d'Aosta / Vallée d'Aoste;16060
70-79;Valle d'Aosta / Vallée d'Aoste;13089
80-89;Valle d'Aosta / Vallée d'Aoste;7800
90+;Valle d'Aosta / Vallée d'Aoste;1764
0-15;Veneto;681111
16-19;Veneto;186250
20-29;Veneto;481226
30-39;Veneto;532841
40-49;Veneto;742052
50-59;Veneto;799460
60-69;Veneto;603210
70-79;Veneto;494443
80-89;Veneto;293030
90+;Veneto;65510
